"Sentence Text";Coded;Coder1;Coder2;Coder3;"Word Count";"Average Word Length";CC;CD;DT;EX;FW;IN;JJ;JJR;JJS;LS;MD;NN;NNS;NNP;NNPS;PDT;POS;PRP;PRP$;RB;RBR;RBS;RP;SYM;TO;UH;VB;VBD;VBG;VBN;VBP;VBZ;WDT;WP;WP$;WRB;"COCA1990 2012";"COCA2016 17";MTurk;PersonalBlogs;PoliticalBlogs;Refined;PDA500;TDA1710;"ALLPORT Metaphorical Doubtful";"ALLPORT Personal Traits";"ALLPORT Social Evaluations";"ALLPORT Temporary States";"COCA1990 2012 Count";"COCA2016 17 Count";"MTurk Count";"PersonalBlogs Count";"PoliticalBlogs Count";"Refined Count";"PDA500 Count";"TDA1710 Count";"ALLPORT Metaphorical Doubtful Count";"ALLPORT Personal Traits Count";"ALLPORT Social Evaluations Count";"ALLPORT Temporary States Count";"w2v cosine";"w2v euclid";"glove cosine";"glove euclid";O+;O-;C+;C-;E+;E-;A+;A-;N+;N-;SE+;SE-;ST+;ST-;CO+;CO-;OC+;OC-;ANNAM;ANNES;BETTY;BIDDY;CARTW;COLBR;DRDAV;EDWAR;ELINO;ELIBR;ELIWI;HARRY;WILLO;JHYMD;LADYE;LADYM;LDCOU;LDMOR;LUCYS;MARGA;MARIA;MARTH;MSCAR;MSGOD;MSMOR;MSSOP;MSSPA;MSWAL;MRDON;MRHAR;MRHEN;MRJEN;MRJOD;MRPRA;MRRIC;MRSIM;MRPAL;MRELL;MRROS;MSPAL;MSDSH;MSDEN;FANNY;MSFER;MSJEN;MSRIC;MSSMI;MSTAY;MSBUR;MSCLA;MSELL;GIBSO;RICST;ROBFE;SALLY;SRELL;SRMID;SRFER;OLDGD;WESTS;WHITS;THOMS;WMMID;PEOPL
"To him therefore the succession to the Norland estate was not so really important as to his sisters; for their fortune, independent of what might arise to them from their father's inheriting that property, could be but small.";0;;;;39;4.7;1;0;2;0;0;5;3;0;0;0;2;6;1;1;0;0;0;2;3;4;0;0;0;0;4;0;2;1;0;0;0;0;0;1;0;0;"BE 1(father), PO 3(fortune, might, property), SD 1(independent)";"BE 1(father), PO 2(fortune, property)";"SD 1(independent)";"PO 3(fortune, might, property), SD 1(independent)";"BE 1(father), PO 3(fortune, might, property)";"BE 1(father), PO 3(fortune, might, property), SD 1(independent)";"independent";"important, independent";;;"important, small";;5;3;1;4;4;5;1;2;0;0;2;0;0.86;0.52;0.31;1.14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Their mother had nothing, and their father only seven thousand pounds in his own disposal; for the remaining moiety of his first wife's fortune was also secured to her child, and he had only a life-interest in it.";0;;;;39;4.4;2;2;2;0;0;4;2;0;0;0;0;9;1;0;0;0;0;2;5;3;0;0;0;0;1;0;0;3;1;1;0;0;0;0;0;0;"BE 3(mother, father, wife), PO 1(fortune), SE 1(secured)";"BE 3(mother, father, wife), PO 1(fortune), SE 1(secured)";"BE 2(mother, wife)";"PO 1(fortune), SE 1(secured)";"BE 3(mother, father, wife), PO 1(fortune), SE 1(secured)";"BE 3(mother, father, wife), PO 1(fortune), SE 1(secured)";;;;;"it, first, child";;5;5;2;2;5;5;0;0;0;0;3;0;0.86;0.52;0.31;1.15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"The old gentleman died: his will was read, and like almost every other will, gave as much disappointment as pleasure.";0;;;;21;4.5;1;0;2;0;0;2;3;0;0;0;0;5;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;3;0;1;0;0;0;0;0;0;"HE 1(pleasure)";"HE 1(pleasure)";;"HE 1(pleasure)";;"HE 1(pleasure)";;"old";"old";;"read";"will";1;1;0;1;0;1;0;1;1;0;1;1;0.82;0.59;0.41;1.06;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"He was neither so unjust, nor so ungrateful, as to leave his estate from his nephew;--but he left it to him on such terms as destroyed half the value of the bequest.";7;OLDGD:X:CO+;OLDGD:C-:X;OLDGD:C-:X;32;4.1;1;0;2;0;0;6;3;0;0;0;0;5;1;0;0;0;0;4;2;2;0;0;0;0;2;0;1;2;0;1;0;0;0;0;0;0;"AC 1(value)";"AC 1(value)";;;;;;;;"ungrateful";"it";;1;1;0;0;0;0;0;0;0;1;1;0;0.84;0.55;0.32;1.14;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"HC1 (5) [ E+ 2, N+ 1, CO+ 2 ], HC2 (4) [ C- 1, ST+ 1, CO+ 2 ], HC3 (12) [ X + 1, E+ 4, SE+ 3, E- 1, OC- 1, C- 1, CO+ 1 ]";;;;;
"Henry Dashwood had wished for it more for the sake of his wife and daughters than for himself or his son;--but to his son, and his son's son, a child of four years old, it was secured, in such a way, as to leave to himself no power of providing for those who were most dear to him, and who most needed a provision by any charge on the estate, or by any sale of its valuable woods.";7;MRHEN:X:ST+;MRHEN:A+:ST+;MRHEN:X:SE+;78;3.8;5;1;9;0;0;14;4;0;0;0;0;13;3;2;0;0;0;5;5;0;1;2;0;0;4;0;1;3;1;3;0;0;0;2;0;0;"BE 1(wife), PO 1(power), SE 1(secured)";"BE 1(wife), PO 1(power), SE 1(secured)";"BE 1(wife), PO 1(power)";"PO 1(power), SE 1(secured)";"BE 1(wife), PO 1(power), SE 1(secured)";"BE 1(wife), PO 1(power), SE 1(secured)";;"old, valuable";"old";;"it, dear, valuable, child";"providing";3;3;2;2;3;3;0;2;1;0;4;1;0.83;0.57;0.30;1.16;0;0;0;0;0;0;1;0;0;0;1;0;2;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"HC1 (4) [ SE+ 1, A+ 1, ST+ 2 ], HC2 (3) [ A+ 2, ST+ 1 ], HC3 (4) [ ST+  1, OC+ 1, SE+ 1, A+ 1 ]";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"The whole was tied up for the benefit of this child, who, in occasional visits with his father and mother at Norland, had so far gained on the affections of his uncle, by such attractions as are by no means unusual in children of two or three years old; an imperfect articulation, an earnest desire of having his own way, many cunning tricks, and a great deal of noise, as to outweigh all the value of all the attention which, for years, he had received from his niece and her daughters.";6;"ELINO:A+:X, MARGA:A+:X, MARIA:A+:X, MSDSH:A+:X";HARRY:E:X;;92;4.2;4;2;11;0;0;18;10;0;0;0;0;14;9;1;0;1;0;1;5;2;0;0;1;0;1;0;1;3;1;3;1;0;1;1;0;0;"AC 1(value), BE 2(father, mother), HE 1(desire), PO 1(benefit), SE 1(attention)";"AC 1(value), BE 2(father, mother), HE 1(desire), PO 1(benefit), SE 1(attention)";"BE 1(mother), PO 1(benefit)";"HE 1(desire), PO 1(benefit), SE 1(attention)";"BE 2(father, mother), PO 1(benefit)";"BE 2(father, mother), HE 1(desire), PO 1(benefit), SE 1(attention)";"cunning, earnest";"old, unusual, great";"old";;"imperfect, whole, unusual, great, child";;6;6;2;3;3;5;2;3;1;0;5;0;0.82;0.59;0.28;1.18;0;0;0;0;1;0;4;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;"HC1 (1) [ A+ 1 ]";;;"HC2 (1) [ E+ 1 ]";;;;;;;;"HC1 (1) [ A+ 1 ]";"HC1 (1) [ A+ 1 ]";;;;;;;;;;;;;;;;;;;;"HC1 (3) [ A+ 2, ST+ 1 ]";;;;;;;;;;;;;;;;;;;;;;;
"He meant not to be unkind, however, and, as a mark of his affection for the three girls, he left them a thousand pounds a-piece.";7;OLDGD:X:SE-;OLDGD:C:X;OLDGD:X:CO+;25;4.0;1;2;3;0;0;3;1;0;0;0;0;2;2;0;0;0;0;3;1;3;0;0;0;0;1;0;1;2;0;0;0;0;0;0;0;0;"BE 1(affection)";;"BE 1(affection)";"BE 1(affection)";;"BE 1(affection)";"unkind";;;"unkind";;;1;0;1;1;0;1;1;0;0;1;0;0;0.82;0.60;0.32;1.15;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"HC1 (6) [ E+ 2, SE- 1, N+ 1, CO+ 2 ], HC2 (5) [ C+ 1, C- 1, ST+ 1, CO+ 2 ], HC3 (13) [ X + 1, E+ 4, SE+ 3, E- 1, OC- 1, C- 1, CO+ 2 ]";;;;;
"Henry Dashwood's disappointment was, at first, severe; but his temper was cheerful and sanguine; and he might reasonably hope to live many years, and by living economically, lay by a considerable sum from the produce of an estate already large, and capable of almost immediate improvement.";6;MRHEN:N-:ST+;"MRHEN:A+:CO, MRHEN:A+:ST";;48;4.9;5;0;3;0;0;6;9;0;0;0;1;6;1;2;0;0;0;1;1;4;0;0;0;0;1;0;2;3;1;0;0;0;0;0;0;0;"AC 2(capable, improvement), HE 1(cheerful), PO 1(might), ST 1(temper)";"AC 2(capable, improvement), HE 1(cheerful)";"ST 1(temper)";"AC 2(capable, improvement), HE 1(cheerful), PO 1(might)";"AC 1(capable), PO 1(might)";"AC 2(capable, improvement), HE 1(cheerful), PO 1(might), ST 1(temper)";"severe, cheerful, capable, live";"cheerful, capable";"large, lay, live";"severe, sanguine";"considerable, capable, first";"living";5;3;1;4;2;5;4;2;3;2;3;1;0.83;0.58;0.32;1.14;0;0;0;0;0;0;2;0;0;1;0;0;2;0;1;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"HC1 (6) [ SE+ 1, A+ 1, ST+ 3, N- 1 ], HC2 (7) [ A+ 4, ST+ 2, CO+ 1 ]";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"But the fortune, which had been so tardy in coming, was his only one twelvemonth.";0;;;;15;4.3;1;1;1;0;0;1;2;0;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;2;1;1;0;0;1;0;0;0;"PO 1(fortune)";"PO 1(fortune)";;"PO 1(fortune)";"PO 1(fortune)";"PO 1(fortune)";;;;"tardy";;;1;1;0;1;1;1;0;0;0;1;0;0;0.87;0.48;0.27;1.17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"He survived his uncle no longer; and ten thousand pounds, including the late legacies, was all that remained for his widow and daughters.";0;;;;24;4.7;2;2;2;0;0;2;1;0;0;0;0;2;3;0;0;0;0;1;2;2;0;0;0;0;0;0;0;3;1;0;0;0;0;0;0;0;;;;;;;;;;;"late";;0;0;0;0;0;0;0;0;0;0;1;0;0.83;0.57;0.33;1.13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"His son was sent for as soon as his danger was known, and to him Henry Dashwood recommended, with all the strength and urgency which illness could command, the interest of his mother-in-law and sisters.";6;MRHEN:A+:ST+;MRHEN:X:ST;;35;4.7;3;0;2;0;0;4;0;0;0;0;1;7;1;2;0;1;0;1;3;2;0;0;0;0;1;0;1;3;0;2;0;0;1;0;0;0;"PO 2(strength, command), SE 1(danger), SD 1(interest)";"PO 2(strength, command), SE 1(danger)";"PO 1(strength), SD 1(interest)";"PO 2(strength, command), SE 1(danger), SD 1(interest)";"PO 2(strength, command), SE 1(danger), SD 1(interest)";"PO 2(strength, command), SE 1(danger), SD 1(interest)";;;;;;;4;3;2;4;4;4;0;0;0;0;0;0;0.85;0.54;0.33;1.13;0;0;0;0;0;0;1;0;0;0;0;0;2;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"HC1 (8) [ SE+ 1, A+ 2, ST+ 4, N- 1 ], HC2 (8) [ A+ 4, ST+ 3, CO+ 1 ]";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Mr. John Dashwood had not the strong feelings of the rest of the family; but he was affected by a recommendation of such a nature at such a time, and he promised to do every thing in his power to make them comfortable.";7;MRJOD:A-:ST+;MRJOD:A-:ST;MRJOD:X:ST+;44;4.0;2;0;7;0;0;6;4;0;0;0;0;7;1;3;0;0;0;3;1;1;0;0;0;0;2;0;2;3;0;1;0;0;0;0;0;0;"BE 1(family), HE 2(rest, comfortable), PO 2(strong, power), UN 1(nature)";"BE 1(family), HE 1(comfortable), PO 1(power), UN 1(nature)";"BE 1(family), PO 1(power), UN 1(nature)";"BE 1(family), HE 2(rest, comfortable), PO 2(strong, power), UN 1(nature)";"BE 1(family), PO 2(strong, power), UN 1(nature)";"BE 1(family), HE 2(rest, comfortable), PO 2(strong, power), UN 1(nature)";"affected";"strong, comfortable";"make";"strong";"affected";"comfortable";6;4;3;6;4;6;1;2;1;1;1;1;0.84;0.56;0.32;1.13;0;0;0;0;0;0;0;2;0;0;0;0;3;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"HC1 (3) [ C+ 1, ST+ 1, A- 1 ], HC2 (4) [ C+ 1, A+ 1, ST+ 1, A- 1 ], HC3 (1) [ ST+ 1 ]";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"His father was rendered easy by such an assurance, and Mr. John Dashwood had then leisure to consider how much there might prudently be in his power to do for them.";6;"MRHEN:X:CO+, MRJOD:C+:X";MRJOD:X:SE;;31;4.3;1;0;1;1;0;3;3;0;0;0;1;4;0;3;0;0;0;1;2;2;0;0;0;0;2;0;3;2;0;1;0;0;0;0;0;1;"BE 1(father), HE 1(leisure), PO 2(might, power)";"BE 1(father), PO 1(power)";"HE 1(leisure), PO 1(power)";"HE 1(leisure), PO 2(might, power)";"BE 1(father), PO 2(might, power)";"BE 1(father), HE 1(leisure), PO 2(might, power)";;;;;;;4;2;2;3;3;4;0;0;0;0;0;0;0.88;0.49;0.33;1.13;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"HC1 (9) [ SE+ 1, A+ 2, ST+ 4, CO+ 1, N- 1 ]";;"HC1 (4) [ C+ 2, ST+ 1, A- 1 ], HC2 (5) [ C+ 1, SE+ 1, A+ 1, ST+ 1, A- 1 ]";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"He was not an ill-disposed young man, unless to be rather cold hearted and rather selfish is to be ill-disposed: but he was, in general, well respected; for he conducted himself with propriety in the discharge of his ordinary duties.";7;"MRJOD:A-:X, MRJOD:C+:X";"MRJOD:A-:X, MRJOD:C:X";MRJOD:O-:CO+;42;4.5;2;0;2;0;0;6;7;0;0;0;0;3;1;0;0;0;0;4;1;4;0;0;0;0;2;0;2;3;0;2;0;1;0;0;0;0;"CO 3(respected, propriety, duties), PO 1(selfish)";"CO 1(duties), PO 1(selfish)";"PO 1(selfish)";"CO 2(respected, duties), PO 1(selfish)";"CO 1(respected)";"CO 2(respected, duties), PO 1(selfish)";"selfish, cold";"young, selfish, well, cold, ordinary, respected";"young, well";"selfish";"ill-disposed, ordinary, respected";;4;2;1;3;1;3;2;6;2;1;3;0;0.88;0.48;0.29;1.16;0;1;2;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"HC1 (6) [ C+ 3, ST+ 1, A- 2 ], HC2 (7) [ C+ 2, SE+ 1, A+ 1, ST+ 1, A- 2 ], HC3 (3) [ ST+ 1, O- 1, CO+ 1 ]";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
