,NARRATOR,Other,Unknown,n,k,be,Response,Anger,Anticipation,Arousal,Disgust,Dominance,Fear,Joy,Sadness,Surprise,Trust,Valence,Stimulus,READER,driver,fellow,his own,justice,wallace,watson
24,Subject,,,27677,20,2.8375382437931163,Category,,Feature,,,,,,,,,,,,,,,,,
25,Subject,,,27667,30,4.1290344787781095,Category,,Feature,,,,,,,,,,,,,,,,,
26,Subject,,,27657,40,3.9043308803682675,Category,,Feature,,,,,,,,,,,,,,,,,
27,Subject,,,27647,50,3.3616293168037195,Category,,Feature,,,,,,,,,,,,,,,,,
28,Subject,,,27637,60,2.88581143495964,Category,,Feature,,,,,,,,,,,,,,,,,
29,Subject,,,27627,70,2.717639750095867,Category,,Feature,,,,,,,,,,,,,,,,,
30,Subject,,,27696,1,0.3617706888480305,Category,,,Feature,,,,,,,,,,,,,,,,
31,Subject,,,27692,5,1.7392116538805529,Category,,,Feature,,,,,,,,,,,,,,,,
32,Subject,,,27687,10,3.386527030590397,Category,,,Feature,,,,,,,,,,,,,,,,
33,Subject,,,27682,15,4.879985497530595,Category,,,Feature,,,,,,,,,,,,,,,,
34,Subject,,,27677,20,6.125236831909391,Category,,,Feature,,,,,,,,,,,,,,,,
35,Subject,,,27667,30,7.891185582354794,Category,,,Feature,,,,,,,,,,,,,,,,
36,Subject,,,27657,40,4.551649250596618,Category,,,Feature,,,,,,,,,,,,,,,,
37,Subject,,,27647,50,3.00193313618316,Category,,,Feature,,,,,,,,,,,,,,,,
38,Subject,,,27637,60,2.259905199955088,Category,,,Feature,,,,,,,,,,,,,,,,
39,Subject,,,27627,70,2.0728189088117093,Category,,,Feature,,,,,,,,,,,,,,,,
40,Subject,,,27696,1,0.06123558317661254,Category,,,,Feature,,,,,,,,,,,,,,,
41,Subject,,,27692,5,0.30316136010345535,Category,,,,Feature,,,,,,,,,,,,,,,
42,Subject,,,27687,10,0.6000461965096476,Category,,,,Feature,,,,,,,,,,,,,,,
43,Subject,,,27682,15,0.8915949420636214,Category,,,,Feature,,,,,,,,,,,,,,,
44,Subject,,,27677,20,1.1775322013920748,Category,,,,Feature,,,,,,,,,,,,,,,
45,Subject,,,27667,30,1.7317652435064408,Category,,,,Feature,,,,,,,,,,,,,,,
46,Subject,,,27657,40,1.9055462929881646,Category,,,,Feature,,,,,,,,,,,,,,,
47,Subject,,,27647,50,1.9399985690512878,Category,,,,Feature,,,,,,,,,,,,,,,
48,Subject,,,27637,60,1.934352790539497,Category,,,,Feature,,,,,,,,,,,,,,,
49,Subject,,,27627,70,1.925967300082936,Category,,,,Feature,,,,,,,,,,,,,,,
50,Subject,,,27696,1,0.49328508503306245,Category,,,,,Feature,,,,,,,,,,,,,,
51,Subject,,,27692,5,2.332257598369141,Category,,,,,Feature,,,,,,,,,,,,,,
52,Subject,,,27687,10,4.503125050812165,Category,,,,,Feature,,,,,,,,,,,,,,
53,Subject,,,27682,15,6.3555210117528995,Category,,,,,Feature,,,,,,,,,,,,,,
54,Subject,,,27677,20,7.677274343138384,Category,,,,,Feature,,,,,,,,,,,,,,
55,Subject,,,27667,30,9.116558896084335,Category,,,,,Feature,,,,,,,,,,,,,,
56,Subject,,,27657,40,3.839767192788532,Category,,,,,Feature,,,,,,,,,,,,,,
57,Subject,,,27647,50,2.3678560793649797,Category,,,,,Feature,,,,,,,,,,,,,,
58,Subject,,,27637,60,1.8821783074809684,Category,,,,,Feature,,,,,,,,,,,,,,
59,Subject,,,27627,70,1.7811506964884645,Category,,,,,Feature,,,,,,,,,,,,,,
60,Subject,,,27696,1,0.12364862031005729,Category,,,,,,Feature,,,,,,,,,,,,,
61,Subject,,,27692,5,0.6107700934822026,Category,,,,,,Feature,,,,,,,,,,,,,
62,Subject,,,27687,10,1.2085482284455327,Category,,,,,,Feature,,,,,,,,,,,,,
63,Subject,,,27682,15,1.7879681705287314,Category,,,,,,Feature,,,,,,,,,,,,,
64,Subject,,,27677,20,2.351510469111313,Category,,,,,,Feature,,,,,,,,,,,,,
65,Subject,,,27667,30,3.42415663389567,Category,,,,,,Feature,,,,,,,,,,,,,
66,Subject,,,27657,40,3.381211603668196,Category,,,,,,Feature,,,,,,,,,,,,,
67,Subject,,,27647,50,3.0922498184099614,Category,,,,,,Feature,,,,,,,,,,,,,
68,Subject,,,27637,60,2.7979876773430283,Category,,,,,,Feature,,,,,,,,,,,,,
69,Subject,,,27627,70,2.68144711579031,Category,,,,,,Feature,,,,,,,,,,,,,
70,Subject,,,27696,1,0.11139163333607804,Category,,,,,,,Feature,,,,,,,,,,,,
71,Subject,,,27692,5,0.5528392828090795,Category,,,,,,,Feature,,,,,,,,,,,,
72,Subject,,,27687,10,1.099389345378131,Category,,,,,,,Feature,,,,,,,,,,,,
73,Subject,,,27682,15,1.6382383035711043,Category,,,,,,,Feature,,,,,,,,,,,,
74,Subject,,,27677,20,2.1633707836650604,Category,,,,,,,Feature,,,,,,,,,,,,
75,Subject,,,27667,30,3.162299512679789,Category,,,,,,,Feature,,,,,,,,,,,,
76,Subject,,,27657,40,3.1763485581013047,Category,,,,,,,Feature,,,,,,,,,,,,
77,Subject,,,27647,50,2.912742710743424,Category,,,,,,,Feature,,,,,,,,,,,,
78,Subject,,,27637,60,2.656790502530626,Category,,,,,,,Feature,,,,,,,,,,,,
79,Subject,,,27627,70,2.565922371558936,Category,,,,,,,Feature,,,,,,,,,,,,
80,Subject,,,27696,1,0.10809880668345402,Category,,,,,,,,Feature,,,,,,,,,,,
81,Subject,,,27692,5,0.5327044841905112,Category,,,,,,,,Feature,,,,,,,,,,,
82,Subject,,,27687,10,1.0533049670381798,Category,,,,,,,,Feature,,,,,,,,,,,
83,Subject,,,27682,15,1.5601446682955131,Category,,,,,,,,Feature,,,,,,,,,,,
84,Subject,,,27677,20,2.053530553943333,Category,,,,,,,,Feature,,,,,,,,,,,
85,Subject,,,27667,30,2.9928448451216663,Category,,,,,,,,Feature,,,,,,,,,,,
86,Subject,,,27657,40,3.0232324852533674,Category,,,,,,,,Feature,,,,,,,,,,,
87,Subject,,,27647,50,2.8363329582632795,Category,,,,,,,,Feature,,,,,,,,,,,
88,Subject,,,27637,60,2.6265227965453866,Category,,,,,,,,Feature,,,,,,,,,,,
89,Subject,,,27627,70,2.536840582615524,Category,,,,,,,,Feature,,,,,,,,,,,
90,Subject,,,27696,1,0.08999932998040107,Category,,,,,,,,,Feature,,,,,,,,,,
91,Subject,,,27692,5,0.4475307859319074,Category,,,,,,,,,Feature,,,,,,,,,,
92,Subject,,,27687,10,0.8898418914967965,Category,,,,,,,,,Feature,,,,,,,,,,
93,Subject,,,27682,15,1.3240671258066763,Category,,,,,,,,,Feature,,,,,,,,,,
94,Subject,,,27677,20,1.750063357040237,Category,,,,,,,,,Feature,,,,,,,,,,
95,Subject,,,27667,30,2.568188535584438,Category,,,,,,,,,Feature,,,,,,,,,,
96,Subject,,,27657,40,2.699127918160942,Category,,,,,,,,,Feature,,,,,,,,,,
97,Subject,,,27647,50,2.624964927976855,Category,,,,,,,,,Feature,,,,,,,,,,
98,Subject,,,27637,60,2.534347846408589,Category,,,,,,,,,Feature,,,,,,,,,,
99,Subject,,,27627,70,2.4927431891528253,Category,,,,,,,,,Feature,,,,,,,,,,
100,Subject,,,27696,1,0.16011010712684576,Category,,,,,,,,,,Feature,,,,,,,,,
101,Subject,,,27692,5,0.7915141574177469,Category,,,,,,,,,,Feature,,,,,,,,,
102,Subject,,,27687,10,1.5709960097271622,Category,,,,,,,,,,Feature,,,,,,,,,
103,Subject,,,27682,15,2.3345573584097603,Category,,,,,,,,,,Feature,,,,,,,,,
104,Subject,,,27677,20,3.071618373979366,Category,,,,,,,,,,Feature,,,,,,,,,
105,Subject,,,27667,30,4.444578099967233,Category,,,,,,,,,,Feature,,,,,,,,,
106,Subject,,,27657,40,4.118108728528716,Category,,,,,,,,,,Feature,,,,,,,,,
107,Subject,,,27647,50,3.485976388034264,Category,,,,,,,,,,Feature,,,,,,,,,
108,Subject,,,27637,60,2.912996110802304,Category,,,,,,,,,,Feature,,,,,,,,,
109,Subject,,,27627,70,2.7020791799120474,Category,,,,,,,,,,Feature,,,,,,,,,
110,Subject,,,27696,1,0.5334445205794887,Category,,,,,,,,,,,Feature,,,,,,,,
111,Subject,,,27692,5,2.4949306544297865,Category,,,,,,,,,,,Feature,,,,,,,,
112,Subject,,,27687,10,4.799402012609145,Category,,,,,,,,,,,Feature,,,,,,,,
113,Subject,,,27682,15,6.721526996198085,Category,,,,,,,,,,,Feature,,,,,,,,
114,Subject,,,27677,20,8.003176111810964,Category,,,,,,,,,,,Feature,,,,,,,,
115,Subject,,,27667,30,9.31903790011115,Category,,,,,,,,,,,Feature,,,,,,,,
116,Subject,,,27657,40,3.6705057973251245,Category,,,,,,,,,,,Feature,,,,,,,,
117,Subject,,,27647,50,2.289926859627645,Category,,,,,,,,,,,Feature,,,,,,,,
118,Subject,,,27637,60,1.8536091266599393,Category,,,,,,,,,,,Feature,,,,,,,,
119,Subject,,,27627,70,1.7532419639076227,Category,,,,,,,,,,,Feature,,,,,,,,
120,Subject,,,27696,1,0.2383315568242855,,Feature,,,,,,,,,,,Category,,,,,,,
121,Subject,,,27692,5,1.1880639753895856,,Feature,,,,,,,,,,,Category,,,,,,,
122,Subject,,,27687,10,2.3606125073234177,,Feature,,,,,,,,,,,Category,,,,,,,
123,Subject,,,27682,15,3.5084883307137233,,Feature,,,,,,,,,,,Category,,,,,,,
124,Subject,,,27677,20,4.612080155663435,,Feature,,,,,,,,,,,Category,,,,,,,
125,Subject,,,27667,30,6.616895656860742,,Feature,,,,,,,,,,,Category,,,,,,,
126,Subject,,,27657,40,5.439166592476383,,Feature,,,,,,,,,,,Category,,,,,,,
127,Subject,,,27647,50,4.108264415297171,,Feature,,,,,,,,,,,Category,,,,,,,
128,Subject,,,27637,60,3.137211549430396,,Feature,,,,,,,,,,,Category,,,,,,,
129,Subject,,,27627,70,2.838454561048491,,Feature,,,,,,,,,,,Category,,,,,,,
130,Subject,,,27696,1,0.30707871445830803,,,Feature,,,,,,,,,,Category,,,,,,,
131,Subject,,,27692,5,1.5336918919349756,,,Feature,,,,,,,,,,Category,,,,,,,
132,Subject,,,27687,10,3.0555950313105162,,,Feature,,,,,,,,,,Category,,,,,,,
133,Subject,,,27682,15,4.5335807750766675,,,Feature,,,,,,,,,,Category,,,,,,,
134,Subject,,,27677,20,5.934561870918307,,,Feature,,,,,,,,,,Category,,,,,,,
135,Subject,,,27667,30,8.387318872168951,,,Feature,,,,,,,,,,Category,,,,,,,
136,Subject,,,27657,40,6.008372658056789,,,Feature,,,,,,,,,,Category,,,,,,,
137,Subject,,,27647,50,3.8901412633143932,,,Feature,,,,,,,,,,Category,,,,,,,
138,Subject,,,27637,60,2.4956835241738005,,,Feature,,,,,,,,,,Category,,,,,,,
139,Subject,,,27627,70,2.0813860017411367,,,Feature,,,,,,,,,,Category,,,,,,,
140,Subject,,,27696,1,0.7060382660523518,,,,Feature,,,,,,,,,Category,,,,,,,
141,Subject,,,27692,5,3.512214309312079,,,,Feature,,,,,,,,,Category,,,,,,,
142,Subject,,,27687,10,6.982777019212266,,,,Feature,,,,,,,,,Category,,,,,,,
143,Subject,,,27682,15,10.10602958842855,,,,Feature,,,,,,,,,Category,,,,,,,
144,Subject,,,27677,20,12.273127438355365,,,,Feature,,,,,,,,,Category,,,,,,,
145,Subject,,,27667,30,14.141400834438771,,,,Feature,,,,,,,,,Category,,,,,,,
146,Subject,,,27657,40,3.2208949798974387,,,,Feature,,,,,,,,,Category,,,,,,,
147,Subject,,,27647,50,0.8175305356889966,,,,Feature,,,,,,,,,Category,,,,,,,
148,Subject,,,27637,60,0.2388766774100968,,,,Feature,,,,,,,,,Category,,,,,,,
149,Subject,,,27627,70,0.15252792588219508,,,,Feature,,,,,,,,,Category,,,,,,,
150,Subject,,,27696,1,0.1581622299706402,,,,,Feature,,,,,,,,Category,,,,,,,
151,Subject,,,27692,5,0.7883095599728543,,,,,Feature,,,,,,,,Category,,,,,,,
152,Subject,,,27687,10,1.569107113279572,,,,,Feature,,,,,,,,Category,,,,,,,
153,Subject,,,27682,15,2.338179406307471,,,,,Feature,,,,,,,,Category,,,,,,,
154,Subject,,,27677,20,3.0898319951288564,,,,,Feature,,,,,,,,Category,,,,,,,
155,Subject,,,27667,30,4.516622807485833,,,,,Feature,,,,,,,,Category,,,,,,,
156,Subject,,,27657,40,4.329781353226026,,,,,Feature,,,,,,,,Category,,,,,,,
157,Subject,,,27647,50,3.7644495361963077,,,,,Feature,,,,,,,,Category,,,,,,,
158,Subject,,,27637,60,3.2659653153461607,,,,,Feature,,,,,,,,Category,,,,,,,
159,Subject,,,27627,70,3.094742847007071,,,,,Feature,,,,,,,,Category,,,,,,,
160,Subject,,,27696,1,0.8693342497430103,,,,,,Feature,,,,,,,Category,,,,,,,
161,Subject,,,27692,5,4.298252930621848,,,,,,Feature,,,,,,,Category,,,,,,,
162,Subject,,,27687,10,8.526467424134424,,,,,,Feature,,,,,,,Category,,,,,,,
163,Subject,,,27682,15,12.07504479309756,,,,,,Feature,,,,,,,Category,,,,,,,
164,Subject,,,27677,20,13.755063713756757,,,,,,Feature,,,,,,,Category,,,,,,,
165,Subject,,,27667,30,14.62438093224437,,,,,,Feature,,,,,,,Category,,,,,,,
166,Subject,,,27657,40,1.7216551285232475,,,,,,Feature,,,,,,,Category,,,,,,,
167,Subject,,,27647,50,0.2745639646203535,,,,,,Feature,,,,,,,Category,,,,,,,
168,Subject,,,27637,60,0.032230577011968055,,,,,,Feature,,,,,,,Category,,,,,,,
169,Subject,,,27627,70,0.011138517113932454,,,,,,Feature,,,,,,,Category,,,,,,,
170,Subject,,,27696,1,0.3064856899292068,,,,,,,Feature,,,,,,Category,,,,,,,
171,Subject,,,27692,5,1.5299756647591478,,,,,,,Feature,,,,,,Category,,,,,,,
172,Subject,,,27687,10,3.0420070771245897,,,,,,,Feature,,,,,,Category,,,,,,,
173,Subject,,,27682,15,4.5162455365759,,,,,,,Feature,,,,,,Category,,,,,,,
174,Subject,,,27677,20,5.899383297707479,,,,,,,Feature,,,,,,Category,,,,,,,
175,Subject,,,27667,30,8.289389310263248,,,,,,,Feature,,,,,,Category,,,,,,,
176,Subject,,,27657,40,5.892259821764686,,,,,,,Feature,,,,,,Category,,,,,,,
177,Subject,,,27647,50,3.988684869159938,,,,,,,Feature,,,,,,Category,,,,,,,
178,Subject,,,27637,60,2.712485326574004,,,,,,,Feature,,,,,,Category,,,,,,,
179,Subject,,,27627,70,2.3389770553356874,,,,,,,Feature,,,,,,Category,,,,,,,
180,Subject,,,27696,1,0.25621668546688636,,,,,,,,Feature,,,,,Category,,,,,,,
181,Subject,,,27692,5,1.2766543493764866,,,,,,,,Feature,,,,,Category,,,,,,,
182,Subject,,,27687,10,2.5422380046128605,,,,,,,,Feature,,,,,Category,,,,,,,
183,Subject,,,27682,15,3.7797051540914506,,,,,,,,Feature,,,,,Category,,,,,,,
184,Subject,,,27677,20,4.965598389311359,,,,,,,,Feature,,,,,Category,,,,,,,
185,Subject,,,27667,30,7.114454293862373,,,,,,,,Feature,,,,,Category,,,,,,,
186,Subject,,,27657,40,5.667331416994611,,,,,,,,Feature,,,,,Category,,,,,,,
187,Subject,,,27647,50,4.136721730324844,,,,,,,,Feature,,,,,Category,,,,,,,
188,Subject,,,27637,60,3.035719623428874,,,,,,,,Feature,,,,,Category,,,,,,,
189,Subject,,,27627,70,2.6893216856104822,,,,,,,,Feature,,,,,Category,,,,,,,
190,Subject,,,27696,1,0.2774647386644432,,,,,,,,,Feature,,,,Category,,,,,,,
191,Subject,,,27692,5,1.3827037193144043,,,,,,,,,Feature,,,,Category,,,,,,,
192,Subject,,,27687,10,2.750095421709282,,,,,,,,,Feature,,,,Category,,,,,,,
193,Subject,,,27682,15,4.083125269766383,,,,,,,,,Feature,,,,Category,,,,,,,
194,Subject,,,27677,20,5.352146859559696,,,,,,,,,Feature,,,,Category,,,,,,,
195,Subject,,,27667,30,7.614651286855412,,,,,,,,,Feature,,,,Category,,,,,,,
196,Subject,,,27657,40,5.809475112778259,,,,,,,,,Feature,,,,Category,,,,,,,
197,Subject,,,27647,50,4.164112956598185,,,,,,,,,Feature,,,,Category,,,,,,,
198,Subject,,,27637,60,2.980247941080917,,,,,,,,,Feature,,,,Category,,,,,,,
199,Subject,,,27627,70,2.6255808361447235,,,,,,,,,Feature,,,,Category,,,,,,,
200,Subject,,,27696,1,0.21098260460900728,,,,,,,,,,Feature,,,Category,,,,,,,
201,Subject,,,27692,5,1.0536011583654765,,,,,,,,,,Feature,,,Category,,,,,,,
202,Subject,,,27687,10,2.100672280374667,,,,,,,,,,Feature,,,Category,,,,,,,
203,Subject,,,27682,15,3.1326621972127615,,,,,,,,,,Feature,,,Category,,,,,,,
204,Subject,,,27677,20,4.132802046608714,,,,,,,,,,Feature,,,Category,,,,,,,
205,Subject,,,27667,30,6.01424786642681,,,,,,,,,,Feature,,,Category,,,,,,,
206,Subject,,,27657,40,5.281712822712159,,,,,,,,,,Feature,,,Category,,,,,,,
207,Subject,,,27647,50,4.176023545325812,,,,,,,,,,Feature,,,Category,,,,,,,
208,Subject,,,27637,60,3.2649711320981094,,,,,,,,,,Feature,,,Category,,,,,,,
209,Subject,,,27627,70,2.951622815857179,,,,,,,,,,Feature,,,Category,,,,,,,
210,Subject,,,27696,1,0.363801933962491,,,,,,,,,,,Feature,,Category,,,,,,,
211,Subject,,,27692,5,1.8136142942061158,,,,,,,,,,,Feature,,Category,,,,,,,
212,Subject,,,27687,10,3.610236445331797,,,,,,,,,,,Feature,,Category,,,,,,,
213,Subject,,,27682,15,5.346128130053463,,,,,,,,,,,Feature,,Category,,,,,,,
214,Subject,,,27677,20,6.95317991281921,,,,,,,,,,,Feature,,Category,,,,,,,
215,Subject,,,27667,30,9.625940965485468,,,,,,,,,,,Feature,,Category,,,,,,,
216,Subject,,,27657,40,6.027277252453596,,,,,,,,,,,Feature,,Category,,,,,,,
217,Subject,,,27647,50,3.5568529568278593,,,,,,,,,,,Feature,,Category,,,,,,,
218,Subject,,,27637,60,2.153860683389049,,,,,,,,,,,Feature,,Category,,,,,,,
219,Subject,,,27627,70,1.785707617745151,,,,,,,,,,,Feature,,Category,,,,,,,
220,Subject,,,27696,1,0.8984056461058219,,,,,,,,,,,,Feature,Category,,,,,,,
221,Subject,,,27692,5,4.425840224625177,,,,,,,,,,,,Feature,Category,,,,,,,
222,Subject,,,27687,10,8.77026672025345,,,,,,,,,,,,Feature,Category,,,,,,,
223,Subject,,,27682,15,12.378916829805615,,,,,,,,,,,,Feature,Category,,,,,,,
224,Subject,,,27677,20,13.923432800280912,,,,,,,,,,,,Feature,Category,,,,,,,
225,Subject,,,27667,30,14.658207712361211,,,,,,,,,,,,Feature,Category,,,,,,,
226,Subject,,,27657,40,1.544101369043788,,,,,,,,,,,,Feature,Category,,,,,,,
227,Subject,,,27647,50,0.23478112370916043,,,,,,,,,,,,Feature,Category,,,,,,,
228,Subject,,,27637,60,0.02402697285873988,,,,,,,,,,,,Feature,Category,,,,,,,
229,Subject,,,27627,70,0.008207394582989766,,,,,,,,,,,,Feature,Category,,,,,,,
230,,Category,Feature,27696,1,0.8693342497430103,,,,,,,,,,,,,,Subject,,,,,,
231,,Category,Feature,27692,5,4.298252930621848,,,,,,,,,,,,,,Subject,,,,,,
232,,Category,Feature,27687,10,8.526467424134424,,,,,,,,,,,,,,Subject,,,,,,
233,,Category,Feature,27682,15,12.07504479309756,,,,,,,,,,,,,,Subject,,,,,,
234,,Category,Feature,27677,20,13.755063713756757,,,,,,,,,,,,,,Subject,,,,,,
235,,Category,Feature,27667,30,14.62438093224437,,,,,,,,,,,,,,Subject,,,,,,
236,,Category,Feature,27657,40,1.7216551285232475,,,,,,,,,,,,,,Subject,,,,,,
237,,Category,Feature,27647,50,0.2745639646203535,,,,,,,,,,,,,,Subject,,,,,,
238,,Category,Feature,27637,60,0.032230577011968055,,,,,,,,,,,,,,Subject,,,,,,
239,,Category,Feature,27627,70,0.011138517113932454,,,,,,,,,,,,,,Subject,,,,,,
240,,,,27696,1,0.363801933962491,Category,Feature,,,,,,,,,,,,Subject,,,,,,
241,,,,27692,5,1.8136142942061158,Category,Feature,,,,,,,,,,,,Subject,,,,,,
242,,,,27687,10,3.610236445331797,Category,Feature,,,,,,,,,,,,Subject,,,,,,
243,,,,27682,15,5.346128130053463,Category,Feature,,,,,,,,,,,,Subject,,,,,,
244,,,,27677,20,6.95317991281921,Category,Feature,,,,,,,,,,,,Subject,,,,,,
245,,,,27667,30,9.625940965485468,Category,Feature,,,,,,,,,,,,Subject,,,,,,
246,,,,27657,40,6.027277252453596,Category,Feature,,,,,,,,,,,,Subject,,,,,,
247,,,,27647,50,3.5568529568278593,Category,Feature,,,,,,,,,,,,Subject,,,,,,
248,,,,27637,60,2.153860683389049,Category,Feature,,,,,,,,,,,,Subject,,,,,,
249,,,,27627,70,1.785707617745151,Category,Feature,,,,,,,,,,,,Subject,,,,,,
250,,,,27696,1,0.3064856899292068,Category,,Feature,,,,,,,,,,,Subject,,,,,,
251,,,,27692,5,1.5299756647591478,Category,,Feature,,,,,,,,,,,Subject,,,,,,
252,,,,27687,10,3.0420070771245897,Category,,Feature,,,,,,,,,,,Subject,,,,,,
253,,,,27682,15,4.5162455365759,Category,,Feature,,,,,,,,,,,Subject,,,,,,
254,,,,27677,20,5.899383297707479,Category,,Feature,,,,,,,,,,,Subject,,,,,,
255,,,,27667,30,8.289389310263248,Category,,Feature,,,,,,,,,,,Subject,,,,,,
256,,,,27657,40,5.892259821764686,Category,,Feature,,,,,,,,,,,Subject,,,,,,
257,,,,27647,50,3.988684869159938,Category,,Feature,,,,,,,,,,,Subject,,,,,,
258,,,,27637,60,2.712485326574004,Category,,Feature,,,,,,,,,,,Subject,,,,,,
259,,,,27627,70,2.3389770553356874,Category,,Feature,,,,,,,,,,,Subject,,,,,,
260,,,,27696,1,0.8984056461058219,Category,,,Feature,,,,,,,,,,Subject,,,,,,
261,,,,27692,5,4.425840224625177,Category,,,Feature,,,,,,,,,,Subject,,,,,,
262,,,,27687,10,8.77026672025345,Category,,,Feature,,,,,,,,,,Subject,,,,,,
263,,,,27682,15,12.378916829805615,Category,,,Feature,,,,,,,,,,Subject,,,,,,
264,,,,27677,20,13.923432800280912,Category,,,Feature,,,,,,,,,,Subject,,,,,,
265,,,,27667,30,14.658207712361211,Category,,,Feature,,,,,,,,,,Subject,,,,,,
266,,,,27657,40,1.544101369043788,Category,,,Feature,,,,,,,,,,Subject,,,,,,
267,,,,27647,50,0.23478112370916043,Category,,,Feature,,,,,,,,,,Subject,,,,,,
268,,,,27637,60,0.02402697285873988,Category,,,Feature,,,,,,,,,,Subject,,,,,,
269,,,,27627,70,0.008207394582989766,Category,,,Feature,,,,,,,,,,Subject,,,,,,
270,,,,27696,1,0.007434541051173288,Category,,,,Feature,,,,,,,,,Subject,,,,,,
271,,,,27692,5,0.03717199116124797,Category,,,,Feature,,,,,,,,,Subject,,,,,,
272,,,,27687,10,0.07434216664490347,Category,,,,Feature,,,,,,,,,Subject,,,,,,
273,,,,27682,15,0.11151047546217756,Category,,,,Feature,,,,,,,,,Subject,,,,,,
274,,,,27677,20,0.14867686625914575,Category,,,,Feature,,,,,,,,,Subject,,,,,,
275,,,,27667,30,0.222252162883538,Category,,,,Feature,,,,,,,,,Subject,,,,,,
276,,,,27657,40,0.275373943273888,Category,,,,Feature,,,,,,,,,Subject,,,,,,
277,,,,27647,50,0.31373652751778924,Category,,,,Feature,,,,,,,,,Subject,,,,,,
278,,,,27637,60,0.34767154848098186,Category,,,,Feature,,,,,,,,,Subject,,,,,,
279,,,,27627,70,0.36091947633774946,Category,,,,Feature,,,,,,,,,Subject,,,,,,
280,,,,27696,1,0.08555267203139306,Category,,,,,Feature,,,,,,,,Subject,,,,,,
281,,,,27692,5,0.38635462980315394,Category,,,,,Feature,,,,,,,,Subject,,,,,,
282,,,,27687,10,0.7196153407669105,Category,,,,,Feature,,,,,,,,Subject,,,,,,
283,,,,27682,15,1.0142003906526853,Category,,,,,Feature,,,,,,,,Subject,,,,,,
284,,,,27677,20,1.2783313483380567,Category,,,,,Feature,,,,,,,,Subject,,,,,,
285,,,,27667,30,1.7303019216201554,Category,,,,,Feature,,,,,,,,Subject,,,,,,
286,,,,27657,40,1.5953741711382072,Category,,,,,Feature,,,,,,,,Subject,,,,,,
287,,,,27647,50,1.5425941714206943,Category,,,,,Feature,,,,,,,,Subject,,,,,,
288,,,,27637,60,1.52830961617022,Category,,,,,Feature,,,,,,,,Subject,,,,,,
289,,,,27627,70,1.5270352220205012,Category,,,,,Feature,,,,,,,,Subject,,,,,,
290,,,,27696,1,0.01187532878201516,Category,,,,,,Feature,,,,,,,Subject,,,,,,
291,,,,27692,5,0.05813912162329599,Category,,,,,,Feature,,,,,,,Subject,,,,,,
292,,,,27687,10,0.11369925432268886,Category,,,,,,Feature,,,,,,,Subject,,,,,,
293,,,,27682,15,0.1686247177150821,Category,,,,,,Feature,,,,,,,Subject,,,,,,
294,,,,27677,20,0.2224092210517343,Category,,,,,,Feature,,,,,,,Subject,,,,,,
295,,,,27667,30,0.3289171786995187,Category,,,,,,Feature,,,,,,,Subject,,,,,,
